salt,vacuum,SBU,smiles
0,0,0,OC(C1=CC=C(C=C1)C2=C(N=[N+]=[N-])C(N=[N+]=[N-])=C(C3=CC=C(C(O)=O)C=C3)C(N=[N+]=[N-])=C2N=[N+]=[N-])=O
1,1,0,O=C(O)C1=CC=C(C#CC2=C(C3=C45)C=CC5=C(C#CC6=CC=C(C(O)=O)C=C6)C=C(C#CC7=CC=C(C(O)=O)C=C7)C4=CC=C3C(C#CC8=CC=C(C(O)=O)C=C8)=C2)C=C1
0,0,1,O=C(C1=CC=C(C(O)=O)C=C1)O
0,0,1,O=C(C1=CC=C2C=C(C(O)=O)C=CC2=C1)O
0,0,1,O=C(C1=CC=C(C2=CC=C(C(O)=O)C=C2)C=C1)O
0,0,1,O=C(C1=CC=C(/N=N/C2=CC=C(C(O)=O)C(Cl)=C2)C=C1Cl)O
1,1,0,O=C(O)/C=C/C(O)=O
1,0,0,O=C(C1=CC(C(O)=O)=NN1)O
1,1,0,OC1=C(C(O)=O)C=CC2=C1C=CC(C(O)=O)=C2O
1,1,0,OC1=C(C(O)=O)C=CC(C2=CC(O)=C(C(O)=O)C=C2)=C1
1,1,0,O=C(C1=CC(C(O)=O)=CC(C(O)=O)=C1)O
1,1,0,O=C(O)C1=CC=C(C(C2=CC=C(C=C2)C(O)=O)(C3=CC=C(C=C3)C(O)=O)C4=CC=C(C=C4)C(O)=O)C=C1
0,0,0,O=C(C1=CN=C(C2=NC=C(C(O)=O)C=C2)C=C1)O
1,1,0,O=C(O)C1=CC=C(C(C2=CC=C(C=C2)C(O)=O)(C3=CC=C(C=C3)C(O)=O)C4=CC=C(C=C4)C(O)=O)C=C1
1,0,0,O=C(C1=CC=C(C2=NC(C3=CC=C(C(O)=O)C=C3)=NC(C4=CC=C(C(O)=O)C=C4)=N2)C=C1)O
0,0,1,O=C(C1=CC=C(C2=CC=C(/C3=C4C=CC(/C(C5=CC=C(C6=CC=C(C(O)=O)C=C6)C=C5)=C(N/7)/C=CC7=C(C8=CC=C(C9=CC=C(C(O)=O)C=C9)C=C8)\C%10=N/C(C=C%10)=C(C%11=CC=C(C%12=CC=C(C(O)=O)C=C%12)C=C%11)\C%13=CC=C3N%13)=N\4)C=C2)C=C1)O
0,0,1,O=C(O)C1=CC=C(C=C1)/C2=C3C=CC(/C(C4=CC=C(C=C4)C(O)=O)=C5C=C/C(N/5[Fe]N6C2=CC=C6/C(C7=CC=C(C=C7)C(O)=O)=C8N=C9C=C\8)=C9\C%10=CC=C(C=C%10)C(O)=O)=N\3
0,0,0,O=C(C1=CC=C(C2=CC=C(/C3=C4C=CC(/C(C5=CC=C(C6=CC=C(C(O)=O)C=C6)C=C5)=C(N/7)/C=CC7=C(C8=CC=C(C9=CC=C(C(O)=O)C=C9)C=C8)\C%10=N/C(C=C%10)=C(C%11=CC=C(C%12=CC=C(C(O)=O)C=C%12)C=C%11)\C%13=CC=C3N%13)=N\4)C=C2)C=C1)O
